reportDay,snapshotTs,daySnapshotRowCount,invoiceId,customerId,customerName,invoiceDate,amount
2026-03-09,2026-03-09T00:00:00.000Z,771,202600604,1822501,Supply Technologies,2026-02-09,3162.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600026,1520804,LII Mexico Holdings LTD,2026-01-06,3132.16
2026-03-09,2026-03-09T00:00:00.000Z,771,202600129,1520804,LII Mexico Holdings LTD,2026-01-12,3132.16
2026-03-09,2026-03-09T00:00:00.000Z,771,202600232,1520804,LII Mexico Holdings LTD,2026-01-19,3132.16
2026-03-09,2026-03-09T00:00:00.000Z,771,202600609,1456501,Jakel Motors - Regal Beloit,2026-02-09,3120.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601118,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-02,3108.84
2026-03-09,2026-03-09T00:00:00.000Z,771,202600163,1822501,Supply Technologies,2026-01-14,3104.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601159,1520801,Lennox Industries,2026-03-04,3078.70
2026-03-09,2026-03-09T00:00:00.000Z,771,202600800,1577106,Modine Mfg Co. - MO,2026-02-17,3008.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202507771,1577118,Modine Mfg Co. - Texas,2025-12-16,2982.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600315,1839209,Therma-Tru Doors -  Mexico,2026-01-22,2875.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601234,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-06,2864.06
2026-03-09,2026-03-09T00:00:00.000Z,771,202600443,1822501,Supply Technologies,2026-01-30,2845.80
2026-03-09,2026-03-09T00:00:00.000Z,771,202600861,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-19,2840.64
2026-03-09,2026-03-09T00:00:00.000Z,771,202601269,1577118,Modine Mfg Co. - Texas,2026-03-09,2809.28
2026-03-09,2026-03-09T00:00:00.000Z,771,202601211,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-05,2801.68
2026-03-09,2026-03-09T00:00:00.000Z,771,202600030,1275203,Fasco Piedras Negras RBC,2026-01-06,2798.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600899,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-23,2790.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202601251,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-06,2774.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601013,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-25,2757.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601116,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-02,2744.76
2026-03-09,2026-03-09T00:00:00.000Z,771,202600872,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-19,2714.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600916,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-23,2714.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600962,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,2714.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601025,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-25,2714.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601039,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-26,2714.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601088,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,2714.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601154,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-03,2714.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601182,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-04,2714.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601262,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-06,2714.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601141,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-03,2590.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202601114,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-02,2582.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202507733,1456501,Jakel Motors - Regal Beloit,2025-12-15,2564.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600241,1456501,Jakel Motors - Regal Beloit,2026-01-19,2564.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601160,1456501,Jakel Motors - Regal Beloit,2026-03-04,2564.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600968,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-24,2555.14
2026-03-09,2026-03-09T00:00:00.000Z,771,202601057,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,2555.14
2026-03-09,2026-03-09T00:00:00.000Z,771,202601138,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-03,2555.14
2026-03-09,2026-03-09T00:00:00.000Z,771,202600905,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-23,2538.22
2026-03-09,2026-03-09T00:00:00.000Z,771,202600943,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,2538.22
2026-03-09,2026-03-09T00:00:00.000Z,771,202601117,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-02,2538.22
2026-03-09,2026-03-09T00:00:00.000Z,771,202601245,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-06,2538.22
2026-03-09,2026-03-09T00:00:00.000Z,771,202600462,1520801,Lennox Industries,2026-01-30,2535.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600701,1567903,"Mestek, Inc. - MA",2026-02-12,2462.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202507498,1456501,Jakel Motors - Regal Beloit,2025-12-01,2456.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600556,1456501,Jakel Motors - Regal Beloit,2026-02-05,2456.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600679,1456501,Jakel Motors - Regal Beloit,2026-02-11,2456.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600890,1456501,Jakel Motors - Regal Beloit,2026-02-23,2456.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202601095,1456501,Jakel Motors - Regal Beloit,2026-03-02,2456.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600901,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-23,2448.72
2026-03-09,2026-03-09T00:00:00.000Z,771,202600235,1520804,LII Mexico Holdings LTD,2026-01-19,2402.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600862,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-19,2395.73
2026-03-09,2026-03-09T00:00:00.000Z,771,202601070,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,2395.73
2026-03-09,2026-03-09T00:00:00.000Z,771,202601204,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-05,2395.73
2026-03-09,2026-03-09T00:00:00.000Z,771,202601244,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-06,2395.73
2026-03-09,2026-03-09T00:00:00.000Z,771,202601084,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,2335.50
2026-03-09,2026-03-09T00:00:00.000Z,771,202600489,1275203,Fasco Piedras Negras RBC,2026-02-02,2306.56
2026-03-09,2026-03-09T00:00:00.000Z,771,202600554,1820701,Suburban Manufacturing,2026-02-05,2300.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601069,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,2299.62
2026-03-09,2026-03-09T00:00:00.000Z,771,202507665,1545903,Marathon Electric (WEG),2025-12-10,2285.78
2026-03-09,2026-03-09T00:00:00.000Z,771,202507687,1975001,JC Residential and Light Commercial LLC,2025-12-11,2272.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202600557,1975001,JC Residential and Light Commercial LLC,2026-02-05,2272.00
2026-03-09,2026-03-09T00:00:00.000Z,771,202601104,1520804,LII Mexico Holdings LTD,2026-03-02,2217.60
2026-03-09,2026-03-09T00:00:00.000Z,771,202600290,1520801,Lennox Industries,2026-01-21,2173.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202600123,1822501,Supply Technologies,2026-01-12,2150.12
2026-03-09,2026-03-09T00:00:00.000Z,771,202601143,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-03,2121.98
2026-03-09,2026-03-09T00:00:00.000Z,771,202601169,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-04,2121.98
2026-03-09,2026-03-09T00:00:00.000Z,771,202507505,1275203,Fasco Piedras Negras RBC,2025-12-01,2094.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202507528,1275203,Fasco Piedras Negras RBC,2025-12-01,2094.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202507529,1275203,Fasco Piedras Negras RBC,2025-12-01,2094.40
2026-03-09,2026-03-09T00:00:00.000Z,771,202600950,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-20,2080.80
2026-03-09,2026-03-09T00:00:00.000Z,771,202600680,1456501,Jakel Motors - Regal Beloit,2026-02-11,2052.34
2026-03-09,2026-03-09T00:00:00.000Z,771,202600681,1456501,Jakel Motors - Regal Beloit,2026-02-11,2052.34
2026-03-09,2026-03-09T00:00:00.000Z,771,202507004,1577118,Modine Mfg Co. - Texas,2025-10-28,1993.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202507770,1577118,Modine Mfg Co. - Texas,2025-12-16,1993.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202600322,1577118,Modine Mfg Co. - Texas,2026-01-22,1993.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202601195,1577118,Modine Mfg Co. - Texas,2026-03-05,1993.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202600491,1367101,"HM Product Solutions, Ltd.",2026-02-02,1992.80
2026-03-09,2026-03-09T00:00:00.000Z,771,202600837,1520801,Lennox Industries,2026-02-18,1992.10
2026-03-09,2026-03-09T00:00:00.000Z,771,202600244,1456501,Jakel Motors - Regal Beloit,2026-01-19,1971.01
2026-03-09,2026-03-09T00:00:00.000Z,771,202601075,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-02-27,1965.20
2026-03-09,2026-03-09T00:00:00.000Z,771,202601192,1852803,Triangle Manufacturing Company,2026-03-05,1956.90
2026-03-09,2026-03-09T00:00:00.000Z,771,202601223,1615801,"NuStep, LLC",2026-03-06,1937.50
2026-03-09,2026-03-09T00:00:00.000Z,771,202601202,1319905,"Daikin Comfort Technologies Mfg., Inc.",2026-03-05,1936.80
